1023,1206
1330,1505
0,0
2,6
60,1284
856,1501
2,0
2,10
2115,1305
2338,1505
0,0
3,1
2208,823
2377,1279
0,0
3,1
1916,1155
2097,1492
0,0
3,1
1778,1198
1875,1492
0,0
3,1
1813,1196
1981,1503
0,0
3,1
2381,1311
2588,1505
0,0
3,1
684,989
896,1463
0,0
3,2
1641,1031
1794,1456
0,0
3,2
953,1014
1147,1483
0,0
3,2
1318,561
1436,757
0,0
3,2
605,1158
739,1461
0,0
3,2
440,1456
537,1505
0,0
3,2
876,1350
1103,1505
0,0
3,2
2329,785
2487,1238
0,0
3,4
908,1090
1080,1505
0,0
3,4
2458,858
2614,1310
0,0
3,4
1606,1032
1797,1505
0,0
3,4
1946,871
2083,1276
0,0
3,4
1881,1017
2081,1500
0,0
3,5
1500,881
1719,1431
0,0
3,5
1276,900
1439,1394
0,0
3,5
726,989
945,1496
0,0
3,5
2226,807
2419,1342
0,0
3,5
0,917
229,1394
0,0
3,5
1740,1047
1909,1505
0,0
3,5
110,570
256,995
0,0
3,5
205,925
381,1382
0,0
3,5
590,1046
741,1505
0,0
3,5
2368,446
2521,990
0,0
3,6
1731,450
1901,906
0,0
3,6
2022,658
2207,1175
0,0
3,6
1594,527
1733,945
0,0
3,6
1490,473
1640,939
0,0
3,6
1222,763
1378,1193
0,0
3,6
906,819
1224,1384
0,0
3,6
1934,428
2114,903
0,0
3,6
2255,203
2397,585
0,0
3,6
2259,659
2419,1099
0,0
3,6
1220,327
1339,509
0,0
3,6
1356,332
1471,496
0,0
3,6
2533,521
2656,954
0,0
3,6
1466,195
1553,520
0,0
3,6
1354,815
1549,1383
0,0
3,7
1595,398
1733,784
0,0
3,7
1506,859
1698,1417
0,0
3,7
1098,760
1315,1282
0,0
3,7
1187,406
1329,777
0,0
3,7
269,1119
480,1479
0,0
3,7
1321,365
1452,767
0,0
3,7
2082,715
2257,979
0,0
3,7
1902,532
2084,896
0,0
3,7
46,405
196,828
0,0
3,7
1462,565
1642,915
0,0
3,7
1847,392
1990,780
0,0
3,7
0,84
84,415
0,0
3,7
2055,1187
2393,1482
0,0
3,7
945,1020
1164,1366
0,0
3,7
2187,1113
2417,1402
0,0
3,7
892,1251
1089,1504
0,0
3,7
1401,36
1530,270
0,0
3,7
0,1201
88,1499
0,0
3,7
84,72
181,419
0,0
3,7
1835,77
1935,408
0,0
3,7
1805,744
2029,1300
0,0
3,8
2497,814
2669,1387
0,0
3,8
1064,958
1299,1505
0,0
3,8
1603,850
1830,1413
0,0
3,8
136,682
347,1204
0,0
3,8
271,694
508,1200
0,0
3,8
1495,551
1696,1052
0,0
3,8
265,406
490,800
0,0
3,8
1354,1008
1552,1458
0,0
3,8
1086,375
1321,697
0,0
3,8
632,146
784,558
0,0
3,8
1283,700
1466,1120
0,0
3,8
1380,323
1572,717
0,0
3,8
1088,629
1307,1007
0,0
3,8
438,949
637,1440
0,0
3,9
94,949
361,1435
0,0
3,9
208,204
368,592
0,0
3,9
603,530
825,1013
0,0
3,9
338,222
510,590
0,0
3,9
1331,922
1633,1505
0,0
3,9
726,194
872,526
0,0
3,9
1747,882
2041,1505
0,0
3,9
3,343
81,560
0,0
3,9
507,273
681,663
0,0
3,9
1018,781
1354,1494
0,0
3,9
846,979
1040,1505
0,0
3,9
332,532
